source_file_token,view,slice_id,frame_index,qc_valid,qc_reason,qc_ncc,qc_intensity_scale,qc_residual,rescale_status
,2CH,2ch_s13_7301,49,1,valid,0.9221151558996435,0.9849624060150376,0.1888310003970655,identity_without_rescale_tags
,2CH,2ch_s14_7401,0,1,valid,0.8612573578606649,1.0532851122873734,0.26152281324041526,identity_without_rescale_tags
,2CH,2ch_s14_7401,1,1,valid,0.8773648599895726,1.0356635626292467,0.24707499737031813,identity_without_rescale_tags
,2CH,2ch_s14_7401,2,1,valid,0.9000371441379006,1.0407752101744379,0.2213497908445219,identity_without_rescale_tags
,2CH,2ch_s14_7401,3,1,valid,0.924462391834992,1.0215827338129497,0.1964434914673419,identity_without_rescale_tags
,2CH,2ch_s14_7401,4,1,valid,0.9277834137578652,1.0199673693647844,0.1854931933837617,identity_without_rescale_tags
,2CH,2ch_s14_7401,5,1,valid,0.9328042323393887,1.0151515151515151,0.18047107228881948,identity_without_rescale_tags
,2CH,2ch_s14_7401,6,1,valid,0.9392630510710733,1.0197716952769764,0.17826031464289893,identity_without_rescale_tags
,2CH,2ch_s14_7401,7,1,valid,0.9373742875684656,1.0175592760460026,0.1769421238627744,identity_without_rescale_tags
,2CH,2ch_s14_7401,8,1,valid,0.923738083176971,1.0,0.1917474726031977,identity_without_rescale_tags
,2CH,2ch_s14_7401,9,1,valid,0.9209214749962688,0.9987752597979216,0.19103866559551194,identity_without_rescale_tags
,2CH,2ch_s14_7401,10,1,valid,0.921829677918516,1.0,0.19288470525304657,identity_without_rescale_tags
,2CH,2ch_s14_7401,11,1,valid,0.9321125471944102,0.9993238662416335,0.17449766349233786,identity_without_rescale_tags
,2CH,2ch_s14_7401,12,1,valid,0.9319500974872408,1.002318841358989,0.17269003822956305,identity_without_rescale_tags
,2CH,2ch_s14_7401,13,1,valid,0.9360368726511705,0.9942135653994952,0.16525612689076127,identity_without_rescale_tags
,2CH,2ch_s14_7401,14,1,valid,0.9430316963610597,0.9993630446627402,0.16011673039415678,identity_without_rescale_tags
,2CH,2ch_s14_7401,15,1,valid,0.9593494022124395,0.9962848282969561,0.13622471788829327,identity_without_rescale_tags
,2CH,2ch_s14_7401,16,1,valid,0.9624220016754617,0.9963511046544311,0.12457244504706194,identity_without_rescale_tags
,2CH,2ch_s14_7401,17,1,valid,0.9588891506731521,0.9940828402366864,0.13221454118602113,identity_without_rescale_tags
,2CH,2ch_s14_7401,18,1,valid,0.9434140610178817,1.0,0.1564386367530939,identity_without_rescale_tags
,2CH,2ch_s14_7401,19,1,valid,0.9514309864022523,0.9990774271793017,0.14527652719369408,identity_without_rescale_tags
,2CH,2ch_s14_7401,20,1,valid,0.9515400783602488,1.0,0.1400312469513944,identity_without_rescale_tags
,2CH,2ch_s14_7401,21,1,valid,0.9377738157282792,0.9991181102362204,0.15788780131827002,identity_without_rescale_tags
,2CH,2ch_s14_7401,22,1,valid,0.9296898037606014,1.0,0.1727745955562246,identity_without_rescale_tags
,2CH,2ch_s14_7401,23,1,valid,0.9387620852844888,1.0,0.16557212210718159,identity_without_rescale_tags
,2CH,2ch_s14_7401,24,1,valid,0.9534531960513498,1.0,0.1428778909915463,identity_without_rescale_tags
,2CH,2ch_s14_7401,25,1,valid,0.9527928959913947,1.0,0.14412583255477807,identity_without_rescale_tags
,2CH,2ch_s14_7401,26,1,valid,0.9546711844288384,1.00612373561334,0.1466326367487596,identity_without_rescale_tags
,2CH,2ch_s14_7401,27,1,valid,0.9448562482067662,1.0,0.1669495894453118,identity_without_rescale_tags
,2CH,2ch_s14_7401,28,1,valid,0.9410408356939161,1.0,0.17263282968694224,identity_without_rescale_tags
,2CH,2ch_s14_7401,29,1,valid,0.9142864644603859,1.0,0.20760771191713856,identity_without_rescale_tags
,2CH,2ch_s14_7401,30,1,valid,0.8989584552822596,1.0,0.21788400190433946,identity_without_rescale_tags
,2CH,2ch_s14_7401,31,1,valid,0.9021297068798426,1.0,0.2205304199229276,identity_without_rescale_tags
,2CH,2ch_s14_7401,32,1,valid,0.907633014703583,0.9939201499611461,0.20850438915154704,identity_without_rescale_tags
